sym,atr_pct,avg_gap_pct,gap_days_pct,avg_volume,avg_price,beta,sector,trades,tp,sl,wr,ev,market_cap_b,verdict
PG,2.17,0.45,10.4,7026027,148.08,0.385,Consumer Defensive,7.0,2.0,4.0,33.3,0.2539,350.4,KEEP
ZTS,3.17,0.75,20.0,4236463,112.83,0.741,Healthcare,12.0,3.0,7.0,30.0,0.2512,33.5,KEEP
AMGN,2.6,0.63,16.0,1837021,347.27,0.416,Healthcare,8.0,3.0,5.0,37.5,0.25,189.2,KEEP
ARM,10.19,2.14,62.4,7414508,171.87,3.786,Technology,35.0,13.0,22.0,37.1,0.2429,440.6,KEEP
ITW,1.68,0.57,11.2,1017181,264.36,1.03,Industrials,5.0,1.0,3.0,25.0,0.2134,75.5,KEEP
SMCI,14.82,2.15,60.0,34036734,30.9,1.869,Technology,31.0,11.0,20.0,35.5,0.2097,18.6,KEEP
UNH,2.41,0.79,15.2,6740479,328.0,0.65,Healthcare,6.0,2.0,4.0,33.3,0.1667,373.3,KEEP
VRTX,2.58,0.57,14.4,964517,453.24,0.31,Healthcare,6.0,2.0,4.0,33.3,0.1667,114.3,KEEP
IDXX,2.79,0.64,18.4,396346,613.6,1.543,Healthcare,3.0,1.0,2.0,33.3,0.1667,45.0,KEEP
MSFT,3.21,0.83,27.4,25445103,422.62,1.103,Technology,9.0,3.0,6.0,33.3,0.1667,2969.6,KEEP
TTWO,3.13,0.77,27.2,1602147,220.44,0.982,Communication Services,12.0,4.0,8.0,33.3,0.1667,40.1,KEEP
PANW,5.27,1.01,28.8,6994977,189.57,0.942,Technology,12.0,4.0,8.0,33.3,0.1667,231.9,KEEP
ORCL,6.8,1.62,60.3,22722197,173.89,1.655,Technology,28.0,9.0,19.0,32.1,0.1429,554.0,KEEP
CDNS,4.72,0.98,35.2,1779885,319.39,1.149,Technology,17.0,5.0,11.0,31.2,0.1367,108.8,KEEP
MCHP,5.45,1.46,48.8,6765801,78.06,1.725,Technology,22.0,7.0,15.0,31.8,0.1364,54.4,KEEP
FCX,4.95,1.89,64.0,14497950,60.95,1.359,Basic Materials,39.0,11.0,26.0,29.7,0.1298,100.8,KEEP
MCD,1.77,0.42,7.2,2589396,305.87,0.414,Consumer Cyclical,5.0,1.0,3.0,25.0,0.1213,203.3,KEEP
ABNB,3.14,0.75,22.4,3250580,132.71,1.159,Consumer Cyclical,13.0,4.0,9.0,30.8,0.1154,82.5,KEEP
ADI,4.54,1.2,50.4,2740831,345.05,1.183,Technology,25.0,7.0,16.0,30.4,0.1114,208.3,KEEP
CSCO,3.93,0.76,22.4,16156566,88.03,1.004,Technology,9.0,2.0,5.0,28.6,0.1015,473.6,KEEP
AXP,2.48,0.72,26.4,2490460,331.52,1.058,Financial Services,15.0,4.0,10.0,28.6,0.0934,228.8,KEEP
CAT,3.84,1.02,41.6,2070447,748.94,1.603,Industrials,22.0,6.0,15.0,28.6,0.0909,430.2,KEEP
JPM,2.11,0.6,19.2,6555740,306.5,1.0,Financial Services,7.0,2.0,4.0,33.3,0.0905,855.8,KEEP
RBLX,5.06,1.31,45.6,9338087,61.47,1.444,Communication Services,24.0,7.0,17.0,29.2,0.0833,32.7,KEEP
FAST,2.18,0.51,12.0,5496971,44.7,0.729,Industrials,6.0,1.0,4.0,20.0,0.0784,52.9,KEEP
WDAY,6.31,1.38,40.0,4012332,151.57,1.081,Technology,14.0,4.0,10.0,28.6,0.0714,32.0,KEEP
BKNG,3.55,1.61,28.0,2433088,2898.79,1.088,Consumer Cyclical,7.0,2.0,5.0,28.6,0.0714,135.3,KEEP
ISRG,2.98,0.6,16.8,1544570,485.88,1.453,Healthcare,7.0,2.0,5.0,28.6,0.0714,147.5,KEEP
XOM,2.91,0.9,28.8,14964272,145.76,0.149,Energy,13.0,3.0,9.0,25.0,0.0696,584.1,KEEP
NOC,2.41,0.61,19.2,673884,637.33,-0.121,Industrials,9.0,2.0,6.0,25.0,0.061,77.4,KEEP
ZS,9.84,1.49,44.0,2891340,167.42,0.963,Technology,18.0,5.0,13.0,27.8,0.0556,21.1,KEEP
BLK,2.5,0.81,28.0,583143,1049.5,1.434,Financial Services,12.0,2.0,7.0,22.2,0.0541,169.8,KEEP
UNP,2.6,0.48,13.6,2401124,251.15,0.974,Industrials,4.0,1.0,2.0,33.3,0.0456,158.7,KEEP
LRCX,6.01,1.84,63.2,7909530,244.73,1.868,Technology,33.0,9.0,24.0,27.3,0.0455,486.4,KEEP
CME,2.98,0.51,12.8,1827490,289.5,0.244,Financial Services,10.0,2.0,6.0,25.0,0.0399,96.1,KEEP
GOOGL,3.03,0.89,31.2,24004056,333.27,1.237,Communication Services,12.0,3.0,8.0,27.3,0.0364,4507.0,KEEP
HON,3.5,0.61,17.6,2905355,222.86,0.843,Industrials,9.0,1.0,5.0,16.7,0.035,144.1,KEEP
PLTR,5.19,1.27,46.2,40246921,151.59,1.515,Technology,17.0,4.0,12.0,25.0,0.0254,322.9,KEEP
AVGO,6.77,1.42,52.0,20344530,361.3,1.433,Technology,23.0,6.0,17.0,26.1,0.0217,1874.2,KEEP
PCAR,2.85,0.6,19.2,2128862,118.7,0.992,Industrials,12.0,2.0,8.0,20.0,0.0099,63.5,KEEP
GE,3.11,0.85,26.4,4173474,309.16,1.375,Industrials,15.0,3.0,11.0,21.4,0.0082,357.6,KEEP
NVDA,3.81,0.98,38.7,140350801,189.23,2.202,Technology,21.0,4.0,15.0,21.1,0.0055,5145.8,KEEP
TXN,4.48,1.13,38.4,5348702,228.92,1.309,Technology,25.0,3.0,17.0,15.0,0.0023,285.2,KEEP
DE,3.09,0.57,13.6,1146790,559.61,0.928,Industrials,4.0,1.0,3.0,25.0,0.0,155.3,DROP
LCID,8.57,1.22,44.0,10331714,8.94,0.845,Consumer Cyclical,20.0,5.0,15.0,25.0,0.0,2.0,DROP
KDP,2.2,0.4,6.4,8136587,28.28,0.424,Consumer Defensive,4.0,1.0,3.0,25.0,0.0,43.2,DROP
QCOM,8.39,1.49,47.2,11274266,164.37,1.596,Technology,22.0,5.0,16.0,23.8,-0.0073,232.7,DROP
KLAC,111.73,2.47,60.8,905712,1574.96,1.504,Technology,29.0,6.0,22.0,21.4,-0.0236,335.0,DROP
COIN,6.7,1.98,62.4,9372921,196.24,3.32,Financial Services,21.0,5.0,16.0,23.8,-0.0238,44.7,DROP
AMZN,3.21,0.87,28.8,37151754,234.93,1.444,Consumer Cyclical,16.0,2.0,10.0,16.7,-0.0286,2646.5,DROP
MRVL,11.16,2.25,64.8,20802464,125.67,2.277,Technology,34.0,8.0,26.0,23.5,-0.0294,270.2,DROP
HCA,2.77,0.58,12.0,958482,469.72,1.134,Healthcare,6.0,1.0,4.0,20.0,-0.0315,86.5,DROP
VRSK,3.35,0.74,23.2,1554111,193.38,0.695,Industrials,13.0,3.0,10.0,23.1,-0.0385,23.6,DROP
ABT,2.31,0.55,11.2,8260740,105.16,0.62,Healthcare,7.0,1.0,5.0,16.7,-0.045,154.4,DROP
META,3.75,0.91,20.8,12545432,634.2,1.229,Communication Services,9.0,2.0,7.0,22.2,-0.0556,1506.5,DROP
DXCM,3.89,0.59,19.2,3812944,67.82,1.443,Healthcare,9.0,2.0,7.0,22.2,-0.0556,28.6,DROP
LLY,3.56,0.76,23.2,2380031,1012.75,0.517,Healthcare,14.0,2.0,10.0,16.7,-0.0712,1007.1,DROP
TSLA,4.52,1.01,40.2,56835017,411.53,1.798,Consumer Cyclical,14.0,3.0,11.0,21.4,-0.0714,1544.2,DROP
ALAB,8.82,2.16,68.8,4533827,183.56,3.963,Technology,42.0,9.0,33.0,21.4,-0.0714,66.7,DROP
ADSK,5.63,0.9,28.8,1597773,249.06,1.295,Technology,13.0,2.0,10.0,16.7,-0.0785,41.9,DROP
LOW,2.5,0.75,27.2,2042509,245.79,0.857,Consumer Cyclical,13.0,2.0,8.0,20.0,-0.0843,123.5,DROP
APP,7.21,1.65,52.8,4581210,504.02,2.455,Communication Services,20.0,4.0,16.0,20.0,-0.1,175.0,DROP
MRNA,5.56,1.43,48.0,7668966,46.42,1.03,Healthcare,20.0,4.0,16.0,20.0,-0.1,20.7,DROP
PM,2.67,0.53,20.0,3585050,171.81,0.408,Consumer Defensive,10.0,2.0,8.0,20.0,-0.1,283.4,DROP
DDOG,6.59,1.66,51.2,4644978,147.29,1.553,Technology,22.0,4.0,17.0,19.0,-0.1071,83.0,DROP
CL,2.71,0.55,11.2,4529435,87.22,0.322,Consumer Defensive,7.0,1.0,5.0,16.7,-0.1161,72.5,DROP
ELV,2.84,0.72,18.4,1251577,346.45,0.682,Healthcare,7.0,1.0,5.0,16.7,-0.118,87.3,DROP
SCHW,2.45,0.54,15.2,8200035,95.27,0.773,Financial Services,9.0,1.0,6.0,14.3,-0.1281,158.2,DROP
SHW,2.54,0.8,31.2,1363965,331.27,1.126,Basic Materials,14.0,2.0,10.0,16.7,-0.1309,79.0,DROP
NEE,1.92,0.52,14.4,7415920,89.0,0.671,Utilities,7.0,0.0,4.0,0.0,-0.1332,179.6,DROP
MS,2.77,0.78,28.0,4979419,182.24,1.221,Financial Services,17.0,2.0,13.0,13.3,-0.1371,343.8,DROP
ICE,2.89,0.47,7.2,2616946,159.18,0.922,Financial Services,5.0,0.0,3.0,0.0,-0.1381,79.2,DROP
TEAM,8.38,1.68,45.6,5569636,97.75,1.068,Technology,17.0,3.0,14.0,17.6,-0.1471,23.2,DROP
DASH,4.98,0.99,36.0,3877704,180.16,1.811,Consumer Cyclical,17.0,3.0,14.0,17.6,-0.1471,73.2,DROP
LIN,2.06,0.43,7.2,1733826,480.82,0.732,Basic Materials,4.0,0.0,3.0,0.0,-0.1652,241.1,DROP
MA,2.19,0.55,13.6,2768977,519.65,0.738,Financial Services,6.0,1.0,5.0,16.7,-0.1667,433.5,DROP
VZ,2.52,0.51,12.8,20961044,46.13,0.22,Communication Services,6.0,1.0,5.0,16.7,-0.1667,196.5,DROP
CI,2.25,0.49,12.0,1221401,279.0,0.302,Healthcare,6.0,1.0,5.0,16.7,-0.1667,77.7,DROP
DHR,2.85,0.64,16.8,3235079,201.02,0.834,Healthcare,6.0,1.0,5.0,16.7,-0.1667,128.2,DROP
CB,2.03,0.42,6.4,1220134,321.72,0.421,Financial Services,4.0,0.0,3.0,0.0,-0.1724,126.8,DROP
SNPS,4.91,1.06,43.2,1559981,462.36,1.214,Technology,16.0,2.0,11.0,15.4,-0.1728,87.0,DROP
CRWV,8.62,2.58,72.0,24203655,94.6,,Technology,38.0,6.0,32.0,15.8,-0.1842,58.2,DROP
KO,2.24,0.4,5.6,11695358,76.35,0.354,Consumer Defensive,4.0,0.0,3.0,0.0,-0.1873,348.1,DROP
ABBV,2.49,0.53,14.4,4420456,217.9,0.309,Healthcare,5.0,0.0,3.0,0.0,-0.1877,391.5,DROP
CVX,2.45,0.8,22.4,8597631,181.84,0.472,Energy,11.0,1.0,9.0,10.0,-0.19,359.3,DROP
MELI,3.54,0.94,25.6,490095,1847.24,1.348,Consumer Cyclical,13.0,2.0,11.0,15.4,-0.1923,83.5,DROP
PLD,2.08,0.56,17.6,2089825,136.55,1.334,Real Estate,10.0,1.0,8.0,11.1,-0.1929,139.2,DROP
DLTR,5.13,0.85,24.8,2525104,113.9,0.659,Consumer Defensive,11.0,1.0,9.0,10.0,-0.1958,21.7,DROP
CRWD,6.1,1.11,39.2,2971769,478.95,1.244,Technology,20.0,3.0,17.0,15.0,-0.2,176.4,DROP
HD,2.35,0.72,24.8,3156839,345.62,0.974,Consumer Cyclical,11.0,1.0,8.0,11.1,-0.2031,328.9,DROP
T,2.57,0.48,9.6,31339859,25.92,0.395,Communication Services,3.0,0.0,2.0,0.0,-0.2114,161.8,DROP
ON,6.85,1.58,55.2,7498660,77.86,1.977,Technology,32.0,4.0,27.0,12.9,-0.2116,49.0,DROP
HOOD,7.28,1.91,64.8,25535817,87.61,2.348,Financial Services,28.0,4.0,24.0,14.3,-0.2143,88.4,DROP
BAC,2.15,0.66,19.2,28307970,52.28,1.196,Financial Services,7.0,1.0,6.0,14.3,-0.2143,396.5,DROP
MU,7.19,2.51,72.6,35532527,447.83,2.173,Technology,35.0,5.0,30.0,14.3,-0.2143,1227.0,DROP
SPGI,2.59,0.64,20.0,1742490,453.01,1.076,Financial Services,7.0,1.0,6.0,14.3,-0.2143,125.5,DROP
EMR,2.91,0.88,30.4,2421319,141.24,1.246,Industrials,12.0,1.0,10.0,9.1,-0.2201,82.1,DROP
AMD,6.78,1.93,58.9,31326397,283.12,2.492,Technology,29.0,4.0,25.0,13.8,-0.2241,892.4,DROP
USB,2.34,0.64,21.6,7471532,55.03,0.999,Financial Services,10.0,1.0,8.0,11.1,-0.2431,90.0,DROP
GS,3.44,0.83,30.4,1750883,918.96,1.291,Financial Services,18.0,2.0,15.0,11.8,-0.2435,317.5,DROP
DUK,1.91,0.36,5.6,2879874,124.73,0.379,Utilities,3.0,0.0,2.0,0.0,-0.2445,97.7,DROP
FANG,4.03,1.12,43.2,2124886,178.81,0.391,Energy,27.0,2.0,23.0,8.0,-0.2503,53.4,DROP
ACN,4.69,0.92,32.8,4397481,215.17,1.069,Technology,12.0,1.0,10.0,9.1,-0.2563,101.8,DROP
ENPH,11.68,1.66,56.8,6149055,42.05,1.572,Technology,33.0,4.0,29.0,12.1,-0.2576,6.9,DROP
NXPI,5.04,1.37,47.2,2137393,242.61,1.788,Technology,26.0,3.0,23.0,11.5,-0.2692,79.8,DROP
BIIB,2.9,0.54,14.4,955847,185.26,0.177,Healthcare,6.0,0.0,5.0,0.0,-0.2745,29.3,DROP
MCO,2.48,0.73,20.8,898793,466.24,1.339,Financial Services,10.0,1.0,9.0,10.0,-0.3,79.3,DROP
FTNT,4.36,0.94,24.0,4773797,92.61,1.109,Technology,11.0,1.0,10.0,9.1,-0.3182,109.5,DROP
BSX,4.1,0.85,19.2,13750985,71.55,0.559,Healthcare,12.0,1.0,11.0,8.3,-0.3333,69.5,DROP
MRK,2.83,0.5,10.4,7973700,114.62,0.218,Healthcare,7.0,0.0,6.0,0.0,-0.3678,283.8,DROP
CRM,6.06,1.09,38.4,10140653,201.07,1.151,Technology,16.0,1.0,15.0,6.2,-0.375,134.8,DROP
CTAS,2.77,0.47,10.4,1411041,183.82,0.934,Industrials,6.0,0.0,5.0,0.0,-0.3813,69.9,DROP
AON,2.43,0.52,8.0,1065706,330.29,0.714,Financial Services,4.0,0.0,4.0,0.0,-0.5,70.4,DROP
JNJ,2.01,0.43,5.6,5587416,229.89,0.256,Healthcare,3.0,0.0,3.0,0.0,-0.5,567.3,DROP
GEHC,2.62,0.75,22.4,3142359,73.98,0.862,Healthcare,12.0,0.0,12.0,0.0,-0.5,29.5,DROP
GILD,2.98,0.55,13.6,4528517,135.45,0.331,Healthcare,3.0,0.0,3.0,0.0,-0.5,154.3,DROP
MMC,1.69,0.33,5.0,1667115,185.71,,Unknown,1.0,0.0,1.0,0.0,-0.5,,DROP
NFLX,2.63,0.75,18.6,35141598,90.55,1.491,Communication Services,6.0,0.0,6.0,0.0,-0.5,343.9,DROP
REGN,2.58,0.67,17.6,609025,735.38,0.238,Healthcare,5.0,0.0,5.0,0.0,-0.5,64.5,DROP
SYK,2.76,0.54,16.8,1703148,340.35,0.785,Healthcare,10.0,0.0,10.0,0.0,-0.5,118.1,DROP
TJX,2.04,0.4,4.8,3552447,156.56,0.619,Consumer Cyclical,5.0,0.0,5.0,0.0,-0.5,184.9,DROP
V,2.24,0.51,8.8,5590067,323.19,0.765,Financial Services,3.0,0.0,3.0,0.0,-0.5,615.8,DROP
WELL,2.94,0.38,5.6,2082106,201.89,0.78,Real Estate,3.0,0.0,3.0,0.0,-0.5,150.2,DROP
WMT,2.22,0.48,8.8,16305819,123.0,0.599,Consumer Defensive,1.0,0.0,1.0,0.0,-0.5,961.5,DROP
WM,2.03,0.39,6.4,1604274,225.94,0.457,Industrials,,,,,,87.1,DROP
